Time	Day	Hour	PJMDALMP	PJMRT 
169	01/08/2005	1	28.02	25.35
170	01/08/2005	2	26.54	27.15
171	01/08/2005	3	25.55	28.63
172	01/08/2005	4	25.52	21.27
173	01/08/2005	5	25.52	17.85
174	01/08/2005	6	27.99	18.79
175	01/08/2005	7	29.74	22.69
176	01/08/2005	8	31.8	30.34
177	01/08/2005	9	34.36	41.53
178	01/08/2005	10	35.86	107.34
179	01/08/2005	11	34.2	87.57
180	01/08/2005	12	32.01	36.08
181	01/08/2005	13	30	42.89
182	01/08/2005	14	29.34	37.75
183	01/08/2005	15	27.71	30.6
184	01/08/2005	16	27.4	32.37
185	01/08/2005	17	31.57	57.28
186	01/08/2005	18	45.77	55.12
187	01/08/2005	19	46.62	57.53
188	01/08/2005	20	41.52	53.25
189	01/08/2005	21	39.15	48.23
190	01/08/2005	22	33.28	33.42
191	01/08/2005	23	29.45	32.38
192	01/08/2005	0	27.74	33.19
193	01/09/2005	1	29.03	25.47
194	01/09/2005	2	27.21	12.48
195	01/09/2005	3	26.29	16.58
196	01/09/2005	4	26.48	29.41
197	01/09/2005	5	26.63	18.36
198	01/09/2005	6	29.23	21.95
199	01/09/2005	7	30.65	31.16

