hours,price
19,1172
20,1096
21,1042
22,1118
23,1172
24,1053
1,1078
2,1002
3,762
4,686
5,610
6,577
7,599
8,631
9,719
10,1034
11,1198
12,1263
13,1274
14,1198
15,305
16,588
17,1023
18,1285
19,1306
20,1306
21,1306
22,1285
23,1285
24,1176
1,1132
2,1089
3,947
4,925
5,936
6,958
7,1209
8,1306
9,1339
10,1383
11,1394
12,1296
13,1306
14,1285
15,1274
16,1241
17,1230
18,1198
19,1045
20,1002
21,1056
22,1241
23,1241
24,1263
